Name,Email,Skill,SkillDescription,SkillRate,Salary
Kirsten,nunc.risus@purusDuis.net,Java,,3,
Lavinia,sodales@sitametante.com,SVN,,9,250000
Alisa,urna@amet.net,OOP,,5,
Gillian,laoreet@Donecfelis.net,UML,,4,550000
Flynn,scelerisque.neque.Nullam@quislectus.edu,Agile,,9,
Mariam,mauris@egetmagna.edu,Design Patterns,,6,320000
Guinevere,erat.eget@non.net,OOP,,6,300000
Demetria,vitae.mauris@dictumplacerataugue.edu,HTML,,1,
Allen,enim.Curabitur.massa@Nulla.co.uk,Agile,,7,
Yael,Phasellus.in@sagittisDuisgravida.org,Javascript,,9,400000
Yael,Phasellus.in@sagittisDuisgravida.org,HTML,,9,400000
Yael,Phasellus.in@sagittisDuisgravida.org,CSS,,7,400000
Yael,Phasellus.in@sagittisDuisgravida.org,Java,,6,400000
Yael,Phasellus.in@sagittisDuisgravida.org,AngularJS,,7,400000
Harper,euismod.et@Donecegestas.org,AngularJS,,7,320000
Chase,amet.ultricies@Nulla.org,Design Patterns,,6,
Dominique,et.ultrices.posuere@dui.com,Oracle,,1,400000
Sylvester,Nam.ac@urnaetarcu.ca,Oracle,,6,300000
Rahim,Proin.mi@nunc.co.uk,TFS,,8,
Xerxes,odio@ligulaconsectetuerrhoncus.co.uk,Scrum,,6,400000
Cecilia,dui@vitaeposuere.edu,Unit testing,,7,
Sara,Maecenas@magnis.co.uk,HTML,,5,300000
Azalia,congue.a.aliquet@Integertincidunt.org,Agile,,5,
Dolan,Morbi.metus.Vivamus@egestasnuncsed.edu,UML,,6,400000
Quamar,dui.nec.urna@Curabitur.co.uk,Unit testing,,3,
Paula,blandit@vellectusCum.com,Java,,10,250000
Dieter,enim@Quisque.ca,HTML,,1,200000
Theodore,aptent.taciti@enimmi.net,HTML,,9,
Hayes,sollicitudin.orci.sem@lobortismaurisSuspendisse.edu,Oracle,,6,300000
Hayes,sollicitudin.orci.sem@lobortismaurisSuspendisse.edu,HTML,,6,300000
Hayes,sollicitudin.orci.sem@lobortismaurisSuspendisse.edu,CSS,,6,300000
Hayes,sollicitudin.orci.sem@lobortismaurisSuspendisse.edu,Git,,6,300000
Arsenio,nisl@arcueuodio.edu,Design Patterns,,8,250000
Jesse,feugiat@atpretiumaliquet.org,HTML,,5,400000
Oprah,placerat.augue@egestasa.com,HTML,,6,320000
Harding,Nunc@erat.edu,Agile,,2,
Zoe,leo@montes.ca,C#,,3,
Julie,enim@massa.co.uk,UML,,6,320000
Rafael,vitae@non.edu,C#,,3,
Pandora,dui@maurisMorbinon.co.uk,OOP,,9,550000
Dane,luctus.vulputate@quamquisdiam.ca,Javascript,,1,
Medge,lacus@eratinconsectetuer.com,Unit testing,,1,250000
Jonas,lectus.justo@ipsumcursusvestibulum.net,SQL Server,,10,550000
Jonas,lectus.justo@ipsumcursusvestibulum.net,Git,,10,550000
Jonas,lectus.justo@ipsumcursusvestibulum.net,Java,,5,550000
Jonas,lectus.justo@ipsumcursusvestibulum.net,C#,,10,550000
Melanie,arcu.Aliquam@porttitortellus.org,Git,,6,
Arden,lacus.Mauris.non@Aliquameratvolutpat.ca,UML,,7,550000
Solomon,eu@necligula.edu,Scrum,,2,400000
Stewart,et.pede.Nunc@magnaUttincidunt.org,Git,,6,
Nevada,eu.nibh.vulputate@egetvolutpat.co.uk,Javascript,,4,
Brendan,pharetra@Aliquamerat.edu,Unit testing,,6,
Brock,blandit.viverra.Donec@mauriseuelit.ca,SQL Server,,7,
Bo,vehicula.aliquet.libero@Quisque.com,AngularJS,,4,300000
Bo,vehicula.aliquet.libero@Quisque.com,Javascript,,8,300000
Bo,vehicula.aliquet.libero@Quisque.com,Oracle,,4,300000
Bo,vehicula.aliquet.libero@Quisque.com,CSS,,7,300000
Tobias,velit.in.aliquet@morbitristique.co.uk,CSS,,10,
Nicole,eros.non.enim@commodotinciduntnibh.com,OOP,,9,
Sebastian,non.justo.Proin@Nuncmauris.co.uk,Unit testing,,4,
Roary,nec.malesuada@elementumpurusaccumsan.co.uk,Git,,5,300000
Roary,nec.malesuada@elementumpurusaccumsan.co.uk,SVN,,7,300000
Candace,iaculis.odio.Nam@eratinconsectetuer.ca,AngularJS,,3,200000
Clark,Sed.nunc@magnisdis.co.uk,SVN,,2,400000
Denton,Quisque@ipsum.org,Javascript,,7,400000
Giacomo,erat.Etiam.vestibulum@nullaInteger.net,OOP,,7,
Harlan,vel.faucibus@semperauctor.ca,Unit testing,,8,
Keiko,imperdiet.nec@fringillami.co.uk,Git,,5,
Priscilla,augue@etmagnisdis.org,Scrum,,3,
Tashya,eu.odio@tellusNunc.org,Java,,7,
Zoe,venenatis.a@odioa.ca,Git,,3,250000
Wallace,sit.amet.ultricies@ac.org,Javascript,,9,200000
Hop,ipsum.sodales@Integer.com,Scrum,,6,
Cameron,libero.at@sempererat.net,Scrum,,10,400000
Linda,at.fringilla@utipsumac.com,Unit testing,,8,200000
Cassidy,ipsum.primis.in@arcuac.edu,AngularJS,,4,
Aretha,Morbi.vehicula@sedorcilobortis.com,UML,,7,
Brenna,Proin.ultrices.Duis@aenimSuspendisse.ca,SVN,,9,
Mikayla,ultricies@vitae.co.uk,OOP,,2,
Ray,lobortis.tellus.justo@justoeuarcu.edu,AngularJS,,6,320000
Wilma,dolor@arcu.edu,C#,,2,
Ramona,et.eros.Proin@uteratSed.net,SQL Server,,9,
